Name,Description,Section/Column,Tags
"AI điều khiển UI như human","Giai đoạn 1 — Ý tưởng gốc",C1 - Idea → Formal System,"G1,Idea"
"Không hook code nội bộ","Giai đoạn 1 — Ý tưởng gốc",C1 - Idea → Formal System,"G1,Idea"
"Điều khiển qua AX","Giai đoạn 1 — Ý tưởng gốc",C1 - Idea → Formal System,"G1,Idea"
"macOS + AX","Giai đoạn 2 — Kiến trúc kỹ thuật",C1 - Idea → Formal System,"G2,Architecture"
"Loop observe→decide→emit→verify","Giai đoạn 2 — Kiến trúc kỹ thuật",C1 - Idea → Formal System,"G2,Architecture"
"Không bắn mù","Giai đoạn 2 — Kiến trúc kỹ thuật",C1 - Idea → Formal System,"G2,Architecture"
"AX API (concept)","Giai đoạn 2 — Kiến trúc kỹ thuật",C1 - Idea → Formal System,"G2,Architecture"
"CGEvent (concept)","Giai đoạn 2 — Kiến trúc kỹ thuật",C1 - Idea → Formal System,"G2,Architecture"
"DecisionInput chuẩn hóa","Giai đoạn 3 — Determinism Design",C1 - Idea → Formal System,"G3,Determinism"
"Policy total order","Giai đoạn 3 — Determinism Design",C1 - Idea → Formal System,"G3,Determinism"
"LLM sandbox (intent-only)","Giai đoạn 3 — Determinism Design",C1 - Idea → Formal System,"G3,Determinism"
"Determinism proof","Giai đoạn 3 — Determinism Design",C1 - Idea → Formal System,"G3,Determinism"
"State model","Giai đoạn 3 — Determinism Design",C1 - Idea → Formal System,"G3,Determinism"
"Policy hierarchy","Giai đoạn 3 — Determinism Design",C1 - Idea → Formal System,"G3,Determinism"
"RFC‑AX‑DET‑001","Giai đoạn 4 — RFC hóa",C2 - Spec → RFC → Skeleton,"G4,RFC"
"Scope","Giai đoạn 4 — RFC hóa",C2 - Spec → RFC → Skeleton,"G4,RFC"
"Architecture","Giai đoạn 4 — RFC hóa",C2 - Spec → RFC → Skeleton,"G4,RFC"
"Invariants","Giai đoạn 4 — RFC hóa",C2 - Spec → RFC → Skeleton,"G4,RFC"
"Safety","Giai đoạn 4 — RFC hóa",C2 - Spec → RFC → Skeleton,"G4,RFC"
"Repo skeleton","Giai đoạn 5 — Code Skeleton",C2 - Spec → RFC → Skeleton,"G5,Skeleton"
"Module boundaries","Giai đoạn 5 — Code Skeleton",C2 - Spec → RFC → Skeleton,"G5,Skeleton"
"Không logic","Giai đoạn 5 — Code Skeleton",C2 - Spec → RFC → Skeleton,"G5,Skeleton"
"Python + Git","Giai đoạn 5 — Code Skeleton",C2 - Spec → RFC → Skeleton,"G5,Skeleton"
"Mỗi module = 1 task","Giai đoạn 6 — Asana/Governance",C3 - Execution Surface & Governance,"G6,Governance"
"Thứ tự cứng","Giai đoạn 6 — Asana/Governance",C3 - Execution Surface & Governance,"G6,Governance"
"Audit trail","Giai đoạn 6 — Asana/Governance",C3 - Execution Surface & Governance,"G6,Governance"
"Asana project","Giai đoạn 6 — Asana/Governance",C3 - Execution Surface & Governance,"G6,Governance"
